,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,34,2017-12-01,24,12,14:20,12:00,00:20,3195,"MADRID, RETIRO","0,0","944,8","938,3",MADRID,"13,6","9,1","5,2","1,4","2,8"
1,667,2,2017-12-02,24,16,20:30,16:30,05:00,3195,"MADRID, RETIRO","0,0","945,8","944,2",MADRID,"11,4","6,5","3,0","-0,5","1,1"
2,667,2,2017-12-03,24,00,00:00,13:30,Varias,3195,"MADRID, RETIRO","0,0","952,4","945,8",MADRID,"7,5","8,5","4,2","0,0","0,6"
3,667,99,2017-12-04,23,01,Varias,15:30,06:50,3195,"MADRID, RETIRO","0,0","956,0","952,2",MADRID,"5,0","9,8","4,9","0,0","0,3"
4,667,4,2017-12-05,11,16,00:40,14:50,06:40,3195,"MADRID, RETIRO","0,0","956,8","954,8",MADRID,"4,7","10,2","5,4","0,5","0,0"
5,667,9,2017-12-06,11,16,09:50,14:30,07:10,3195,"MADRID, RETIRO","0,0","955,6","952,5",MADRID,"2,8","9,0","4,1","-0,8","0,3"
6,667,16,2017-12-07,10,24,12:10,15:30,07:50,3195,"MADRID, RETIRO","0,0","952,8","950,9",MADRID,"2,8","9,5","5,0","0,6","0,3"
7,667,18,2017-12-08,00,24,16:10,14:40,07:40,3195,"MADRID, RETIRO","0,0","950,9","946,5",MADRID,"1,9","11,2","6,8","2,5","0,0"
8,667,26,2017-12-09,10,18,23:00,14:30,06:50,3195,"MADRID, RETIRO","0,0","947,2","944,5",MADRID,"6,4","13,2","9,0","4,7","0,3"
9,667,23,2017-12-10,00,24,18:00,01:10,04:10,3195,"MADRID, RETIRO","11,9","945,6","919,6",MADRID,"14,4","11,5","10,1","8,7","4,2"
10,667,24,2017-12-11,24,07,01:40,Varias,23:59,3195,"MADRID, RETIRO","0,0","930,0","917,1",MADRID,"15,3","10,2","7,2","4,3","3,1"
11,667,7,2017-12-12,24,00,00:20,14:40,06:10,3195,"MADRID, RETIRO","0,0","946,5","930,0",MADRID,"7,8","8,7","4,6","0,5","0,6"
12,667,24,2017-12-13,10,02,14:40,14:10,07:10,3195,"MADRID, RETIRO","0,0","950,3","943,5",MADRID,"6,7","8,6","4,2","-0,3","0,6"
13,667,99,2017-12-14,07,24,Varias,Varias,01:50,3195,"MADRID, RETIRO","0,0","944,3","937,0",MADRID,"10,0","10,6","7,2","3,8","1,4"
14,667,32,2017-12-15,24,14,13:50,13:40,23:59,3195,"MADRID, RETIRO","0,0","938,2","932,7",MADRID,"12,8","12,5","8,4","4,2","1,9"
15,667,4,2017-12-16,24,00,14:20,13:30,04:20,3195,"MADRID, RETIRO","0,0","948,3","938,2",MADRID,"10,3","9,7","5,8","2,0","2,2"
16,667,4,2017-12-17,24,00,14:10,14:50,08:10,3195,"MADRID, RETIRO","0,0","954,0","948,3",MADRID,"8,3","9,7","5,6","1,5","1,7"
17,667,99,2017-12-18,00,24,Varias,14:40,06:10,3195,"MADRID, RETIRO","0,0","953,3","947,3",MADRID,"3,6","10,4","5,4","0,4","0,0"
18,667,2,2017-12-19,24,04,01:50,11:30,23:59,3195,"MADRID, RETIRO","0,0","953,0","946,7",MADRID,"8,6","11,6","8,0","4,3","0,8"
19,667,36,2017-12-20,11,Varias,23:50,15:00,05:50,3195,"MADRID, RETIRO","0,0","954,2","951,6",MADRID,"5,8","11,7","6,8","1,8","1,1"
20,667,36,2017-12-21,24,00,00:30,16:00,08:00,3195,"MADRID, RETIRO","0,0","958,8","953,9",MADRID,"6,1","11,5","7,2","3,0","1,1"
21,667,36,2017-12-22,00,16,20:10,15:10,06:40,3195,"MADRID, RETIRO","0,0","958,8","954,8",MADRID,"5,6","12,7","7,5","2,3","1,1"
22,667,36,2017-12-23,24,16,08:40,16:30,04:50,3195,"MADRID, RETIRO","0,0","955,7","953,8",MADRID,"8,3","12,7","7,6","2,5","2,8"
23,667,36,2017-12-24,00,24,06:20,15:00,23:30,3195,"MADRID, RETIRO","0,0","955,7","950,0",MADRID,"4,4","10,5","7,5","4,5","1,7"
24,667,36,2017-12-25,00,24,09:40,18:00,06:20,3195,"MADRID, RETIRO","1,9","950,0","943,0",MADRID,"3,9","5,6","4,0","2,4","1,1"
25,667,88,2017-12-26,Varias,24,22:30,13:10,07:30,3195,"MADRID, RETIRO","2,8","943,0","931,8",MADRID,"12,8","7,2","5,3","3,4","2,8"
26,667,88,2017-12-27,24,02,03:20,14:50,05:20,3195,"MADRID, RETIRO","0,0","935,8","928,8",MADRID,"12,8","10,6","8,1","5,6","5,0"
27,667,99,2017-12-28,24,05,Varias,17:00,05:00,3195,"MADRID, RETIRO","0,0","939,6","934,0",MADRID,"11,1","14,5","10,2","6,0","2,5"
28,667,28,2017-12-29,23,00,00:00,14:45,07:30,3195,"MADRID, RETIRO","0,0","948,8","939,6",MADRID,"10,8","16,0","11,8","7,5","3,1"
29,667,26,2017-12-30,12,Varias,12:20,15:00,23:59,3195,"MADRID, RETIRO","0,0","950,4","948,5",MADRID,"6,9","15,5","11,2","6,8","1,9"
30,667,24,2017-12-31,24,15,16:00,15:00,22:10,3195,"MADRID, RETIRO","0,8","951,9","944,3",MADRID,"13,9","11,6","9,2","6,7","2,8"
