,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,25.0,2015-05-01,00,Varias,10:20,15:00,04:10,3195,"MADRID, RETIRO","0,0","942,1","939,4",MADRID,"7,2","23,7","18,3","12,9","1,9"
1,667,25.0,2015-05-02,00,24,14:10,15:30,05:50,3195,"MADRID, RETIRO","0,0","940,2","935,7",MADRID,"11,1","26,4","20,3","14,2","2,8"
2,667,23.0,2015-05-03,Varias,02,16:10,15:45,07:00,3195,"MADRID, RETIRO","0,1","937,5","935,5",MADRID,"9,2","21,4","19,1","16,8","1,4"
3,667,23.0,2015-05-04,00,18,14:40,13:00,23:59,3195,"MADRID, RETIRO",Ip,"935,6","930,0",MADRID,"14,4","26,9","20,8","14,6","2,2"
4,667,26.0,2015-05-05,24,00,16:50,13:50,06:15,3195,"MADRID, RETIRO","0,0","939,1","934,6",MADRID,"10,6","21,0","16,2","11,5","3,1"
5,667,26.0,2015-05-06,22,00,15:00,14:10,04:50,3195,"MADRID, RETIRO","0,0","941,8","939,1",MADRID,"6,9","23,0","16,2","9,4","1,4"
6,667,21.0,2015-05-07,07,18,15:30,14:40,04:10,3195,"MADRID, RETIRO","0,0","941,6","936,4",MADRID,"6,4","28,2","19,6","11,1","1,9"
7,667,,2015-05-08,24,00,,14:30,06:20,3195,"MADRID, RETIRO","0,0","946,3","938,2",MADRID,,"24,7","18,8","12,9","3,3"
8,667,10.0,2015-05-09,07,18,15:00,14:20,05:50,3195,"MADRID, RETIRO","0,0","948,0","945,5",MADRID,"5,3","28,2","20,6","13,0","1,4"
9,667,17.0,2015-05-10,07,Varias,11:30,14:20,05:50,3195,"MADRID, RETIRO","0,0","947,0","943,1",MADRID,"7,8","31,5","24,0","16,4","1,7"
10,667,25.0,2015-05-11,11,18,15:00,15:00,05:50,3195,"MADRID, RETIRO","0,0","945,6","942,3",MADRID,"6,1","32,4","24,8","17,2","1,4"
11,667,23.0,2015-05-12,12,00,15:50,14:50,04:30,3195,"MADRID, RETIRO","0,0","946,8","943,8",MADRID,"6,7","33,3","25,2","17,2","1,7"
12,667,26.0,2015-05-13,11,24,14:40,13:15,06:05,3195,"MADRID, RETIRO","0,0","947,7","943,3",MADRID,"9,4","35,5","27,5","19,5","2,2"
13,667,33.0,2015-05-14,00,15,21:20,13:30,23:59,3195,"MADRID, RETIRO","0,0","943,3","937,2",MADRID,"12,5","32,5","24,4","16,4","2,5"
14,667,3.0,2015-05-15,24,02,17:20,13:45,06:10,3195,"MADRID, RETIRO","0,0","947,4","939,8",MADRID,"13,3","23,0","17,4","11,8","3,9"
15,667,8.0,2015-05-16,08,18,12:50,15:50,05:10,3195,"MADRID, RETIRO","0,0","948,8","946,3",MADRID,"12,2","27,7","19,0","10,4","2,8"
16,667,5.0,2015-05-17,00,20,10:10,13:30,06:00,3195,"MADRID, RETIRO","0,0","947,6","940,2",MADRID,"9,2","30,0","21,8","13,6","1,7"
17,667,27.0,2015-05-18,00,24,19:00,13:50,04:30,3195,"MADRID, RETIRO","0,0","940,4","932,4",MADRID,"7,8","31,6","24,0","16,4","2,2"
18,667,3.0,2015-05-19,24,04,13:50,12:45,23:59,3195,"MADRID, RETIRO","0,0","941,1","931,2",MADRID,"13,6","22,8","16,6","10,4","5,0"
19,667,5.0,2015-05-20,Varias,02,12:00,13:40,05:00,3195,"MADRID, RETIRO","0,0","945,3","940,3",MADRID,"12,2","21,6","14,5","7,4","2,8"
20,667,4.0,2015-05-21,09,Varias,22:50,15:30,04:50,3195,"MADRID, RETIRO","0,0","948,8","944,5",MADRID,"10,3","22,3","15,4","8,4","2,8"
21,667,3.0,2015-05-22,00,18,22:20,15:10,05:10,3195,"MADRID, RETIRO","0,0","947,3","941,2",MADRID,"13,6","22,7","15,2","7,7","3,3"
22,667,4.0,2015-05-23,00,18,02:40,15:00,05:30,3195,"MADRID, RETIRO","0,0","943,0","938,1",MADRID,"13,3","23,8","16,6","9,5","3,6"
23,667,4.0,2015-05-24,24,18,00:05,14:20,05:00,3195,"MADRID, RETIRO","0,0","941,3","937,8",MADRID,"12,8","24,7","18,0","11,4","2,5"
24,667,99.0,2015-05-25,09,17,Varias,14:50,05:05,3195,"MADRID, RETIRO","0,0","942,6","938,7",MADRID,"8,9","25,8","19,8","13,7","1,9"
25,667,4.0,2015-05-26,08,17,22:40,15:20,04:40,3195,"MADRID, RETIRO","0,0","942,5","939,1",MADRID,"10,3","27,9","20,2","12,5","2,8"
26,667,5.0,2015-05-27,09,17,06:20,15:15,05:15,3195,"MADRID, RETIRO","0,0","942,4","938,7",MADRID,"11,7","29,3","21,3","13,3","3,1"
27,667,6.0,2015-05-28,Varias,Varias,00:20,15:10,06:10,3195,"MADRID, RETIRO","0,0","941,6","936,6",MADRID,"6,4","31,3","23,8","16,2","1,4"
28,667,27.0,2015-05-29,24,15,15:30,13:50,23:40,3195,"MADRID, RETIRO","0,0","938,8","935,3",MADRID,"11,7","30,4","23,8","17,1","2,2"
29,667,32.0,2015-05-30,10,18,14:50,14:00,03:50,3195,"MADRID, RETIRO","0,0","940,8","938,2",MADRID,"8,6","29,9","22,4","15,0","1,9"
30,667,22.0,2015-05-31,10,17,13:00,14:55,05:55,3195,"MADRID, RETIRO","0,0","941,4","938,2",MADRID,"8,3","30,8","23,6","16,3","1,9"
