,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,9,2014-11-01,Varias,24,06:00,14:30,07:50,3195,"MADRID, RETIRO","0,0","947,0","944,8",MADRID,"4,4","20,3","15,8","11,4","1,1"
1,667,3,2014-11-02,00,Varias,19:40,14:45,Varias,3195,"MADRID, RETIRO","5,3","944,8","939,9",MADRID,"6,1","18,8","14,7","10,6","1,4"
2,667,34,2014-11-03,00,24,21:20,13:10,03:10,3195,"MADRID, RETIRO","14,4","940,4","923,3",MADRID,"13,6","14,7","12,4","10,0","2,5"
3,667,32,2014-11-04,24,00,00:50,13:10,23:59,3195,"MADRID, RETIRO","0,0","929,6","923,3",MADRID,"12,8","12,0","9,7","7,4","2,8"
4,667,4,2014-11-05,24,01,01:10,13:10,05:10,3195,"MADRID, RETIRO","0,0","937,5","929,4",MADRID,"8,9","13,2","9,3","5,4","2,2"
5,667,26,2014-11-06,11,00,17:00,14:30,04:30,3195,"MADRID, RETIRO","0,2","939,3","937,5",MADRID,"7,8","14,5","10,0","5,5","1,4"
6,667,33,2014-11-07,24,15,12:40,14:40,00:30,3195,"MADRID, RETIRO","0,5","939,3","936,7",MADRID,"8,9","17,2","13,6","10,1","2,5"
7,667,30,2014-11-08,00,24,15:30,13:45,23:00,3195,"MADRID, RETIRO","1,0","939,3","932,2",MADRID,"10,0","14,0","11,4","8,8","2,8"
8,667,36,2014-11-09,24,04,13:20,12:15,23:59,3195,"MADRID, RETIRO","0,0","936,4","931,3",MADRID,"8,6","12,6","8,8","5,0","3,1"
9,667,23,2014-11-10,07,24,13:30,13:30,06:45,3195,"MADRID, RETIRO","8,7","936,8","933,8",MADRID,"7,5","11,5","7,2","3,0","1,4"
10,667,2,2014-11-11,00,13,12:00,16:15,Varias,3195,"MADRID, RETIRO","10,6","933,8","925,2",MADRID,"7,8","11,6","9,3","7,0","1,1"
11,667,30,2014-11-12,24,00,13:40,14:30,00:15,3195,"MADRID, RETIRO","0,0","937,6","929,7",MADRID,"9,2","14,4","11,5","8,6","3,1"
12,667,15,2014-11-13,00,24,23:50,16:20,02:30,3195,"MADRID, RETIRO","4,1","937,6","932,1",MADRID,"7,5","15,5","12,0","8,5","1,4"
13,667,25,2014-11-14,23,14,15:10,14:10,23:59,3195,"MADRID, RETIRO","1,3","932,2","928,9",MADRID,"12,2","14,3","11,2","8,2","3,1"
14,667,25,2014-11-15,09,00,14:50,14:40,07:00,3195,"MADRID, RETIRO","0,2","936,1","931,6",MADRID,"13,3","11,7","9,2","6,6","3,6"
15,667,24,2014-11-16,08,24,15:20,13:00,06:50,3195,"MADRID, RETIRO","0,1","936,8","935,2",MADRID,"10,6","12,0","8,8","5,7","2,5"
16,667,27,2014-11-17,24,04,02:30,13:10,23:59,3195,"MADRID, RETIRO","0,0","935,8","933,7",MADRID,"8,6","13,4","9,4","5,4","1,7"
17,667,5,2014-11-18,22,05,07:20,16:10,07:30,3195,"MADRID, RETIRO","0,0","937,4","935,0",MADRID,"13,9","10,4","7,0","3,6","0,3"
18,667,7,2014-11-19,24,00,23:40,15:15,02:15,3195,"MADRID, RETIRO","0,0","940,1","937,2",MADRID,"18,9","14,5","10,8","7,1","1,9"
19,667,7,2014-11-20,10,15,17:40,14:50,06:30,3195,"MADRID, RETIRO","0,0","941,3","938,8",MADRID,"6,7","18,4","14,0","9,5","2,5"
20,667,5,2014-11-21,11,Varias,08:40,14:10,07:20,3195,"MADRID, RETIRO","0,0","941,9","939,2",MADRID,"6,4","15,4","12,1","8,8","1,4"
21,667,6,2014-11-22,00,18,15:00,13:40,Varias,3195,"MADRID, RETIRO","0,0","940,2","935,8",MADRID,"7,8","17,5","14,4","11,2","1,7"
22,667,15,2014-11-23,23,04,03:40,14:30,Varias,3195,"MADRID, RETIRO","3,0","938,3","934,5",MADRID,"6,1","16,4","14,7","13,0","1,1"
23,667,3,2014-11-24,24,00,08:30,14:45,07:30,3195,"MADRID, RETIRO","0,0","940,3","938,1",MADRID,"4,7","17,3","14,4","11,5","0,8"
24,667,28,2014-11-25,11,18,16:30,14:40,06:50,3195,"MADRID, RETIRO","4,5","941,1","938,6",MADRID,"8,3","16,0","12,8","9,6","0,8"
25,667,24,2014-11-26,00,24,13:10,Varias,20:05,3195,"MADRID, RETIRO","0,1","938,9","931,9",MADRID,"7,8","12,4","10,7","9,0","1,7"
26,667,16,2014-11-27,00,24,20:30,17:10,02:15,3195,"MADRID, RETIRO","5,9","931,9","915,6",MADRID,"8,6","11,5","9,6","7,8","1,9"
27,667,12,2014-11-28,24,07,09:50,12:10,04:40,3195,"MADRID, RETIRO","11,8","917,9","910,4",MADRID,"10,0","10,4","9,2","8,0","2,8"
28,667,4,2014-11-29,24,06,06:40,Varias,02:40,3195,"MADRID, RETIRO","1,1","922,2","917,6",MADRID,"9,2","10,6","9,3","8,0","1,1"
29,667,1,2014-11-30,24,00,22:50,14:15,07:00,3195,"MADRID, RETIRO","1,1","926,5","922,2",MADRID,"7,8","15,3","11,4","7,6","0,8"
