,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,3,2015-12-01,00,16,05:10,14:50,06:40,3195,"MADRID, RETIRO","0,0","954,9","951,4",MADRID,"3,9","14,0","8,3","2,6","0,6"
1,667,22,2015-12-02,08,15,12:00,14:45,05:50,3195,"MADRID, RETIRO","0,0","952,7","950,7",MADRID,"3,1","13,2","8,4","3,7","0,3"
2,667,4,2015-12-03,24,Varias,Varias,15:10,05:40,3195,"MADRID, RETIRO","0,0","954,0","951,5",MADRID,"3,3","14,7","9,5","4,3","0,6"
3,667,4,2015-12-04,11,00,00:10,15:10,05:40,3195,"MADRID, RETIRO","0,0","957,0","954,0",MADRID,"4,4","16,3","11,2","6,2","0,3"
4,667,5,2015-12-05,00,17,07:20,15:00,07:15,3195,"MADRID, RETIRO","0,0","955,3","950,6",MADRID,"4,2","16,6","11,7","6,8","0,8"
5,667,3,2015-12-06,10,15,10:10,14:40,07:05,3195,"MADRID, RETIRO","0,0","951,9","949,4",MADRID,"3,9","15,1","10,5","5,9","0,6"
6,667,5,2015-12-07,24,Varias,04:50,15:20,05:20,3195,"MADRID, RETIRO","0,0","952,6","950,8",MADRID,"4,7","11,7","9,4","7,0","1,1"
7,667,5,2015-12-08,24,03,07:10,Varias,Varias,3195,"MADRID, RETIRO","0,0","956,1","952,4",MADRID,"3,9","13,8","10,5","7,2","0,6"
8,667,4,2015-12-09,11,13,09:50,15:00,06:50,3195,"MADRID, RETIRO","0,0","958,2","952,2",MADRID,"8,3","14,5","11,4","8,4","1,7"
9,667,4,2015-12-10,00,16,20:50,12:40,07:05,3195,"MADRID, RETIRO","0,0","956,1","953,8",MADRID,"5,0","13,1","10,2","7,3","1,4"
10,667,12,2015-12-11,11,24,13:30,14:20,08:10,3195,"MADRID, RETIRO","0,0","955,1","951,4",MADRID,"5,3","13,5","11,0","8,5","1,4"
11,667,11,2015-12-12,00,24,06:20,14:30,07:50,3195,"MADRID, RETIRO","0,0","951,4","946,0",MADRID,"5,0","11,5","10,0","8,5","0,8"
12,667,24,2015-12-13,00,Varias,05:00,15:00,07:20,3195,"MADRID, RETIRO","0,0","946,0","943,2",MADRID,"6,4","12,2","8,6","5,1","0,8"
13,667,23,2015-12-14,24,07,14:20,13:50,08:50,3195,"MADRID, RETIRO","0,2","947,5","943,5",MADRID,"5,8","14,1","11,4","8,8","1,4"
14,667,4,2015-12-15,24,03,20:30,15:05,07:20,3195,"MADRID, RETIRO","0,0","953,9","947,4",MADRID,"5,3","15,3","11,6","8,0","0,6"
15,667,5,2015-12-16,10,Varias,02:00,14:20,07:10,3195,"MADRID, RETIRO","0,0","956,0","952,9",MADRID,"4,7","15,5","10,8","6,2","0,6"
16,667,4,2015-12-17,00,14,Varias,14:45,07:30,3195,"MADRID, RETIRO","0,0","953,2","950,4",MADRID,"3,9","14,8","10,4","6,0","0,0"
17,667,4,2015-12-18,11,Varias,03:20,14:30,07:50,3195,"MADRID, RETIRO","0,0","952,5","950,3",MADRID,"3,3","14,9","11,0","7,1","0,3"
18,667,5,2015-12-19,00,17,05:20,15:20,07:50,3195,"MADRID, RETIRO","0,0","950,3","945,7",MADRID,"4,7","15,4","10,8","6,3","0,8"
19,667,27,2015-12-20,24,04,14:20,14:00,07:10,3195,"MADRID, RETIRO","0,0","950,3","944,6",MADRID,"8,6","15,3","10,8","6,4","0,8"
20,667,5,2015-12-21,Varias,00,23:50,Varias,06:10,3195,"MADRID, RETIRO","0,0","955,3","950,2",MADRID,"5,8","13,3","9,2","5,0","0,8"
21,667,5,2015-12-22,11,Varias,00:00,14:45,07:20,3195,"MADRID, RETIRO","0,0","955,8","953,0",MADRID,"5,6","14,6","9,6","4,5","0,6"
22,667,3,2015-12-23,10,24,00:00,14:40,07:30,3195,"MADRID, RETIRO","0,0","953,3","950,1",MADRID,"5,3","14,2","9,4","4,6","0,3"
23,667,16,2015-12-24,24,02,11:40,14:50,07:40,3195,"MADRID, RETIRO","0,0","953,2","948,9",MADRID,"2,8","10,0","6,6","3,2","0,3"
24,667,6,2015-12-25,23,01,22:00,14:20,07:15,3195,"MADRID, RETIRO","0,0","954,6","952,6",MADRID,"5,3","13,2","8,0","2,9","0,3"
25,667,4,2015-12-26,10,15,22:10,14:50,06:30,3195,"MADRID, RETIRO","0,0","954,8","951,9",MADRID,"5,8","11,1","7,3","3,5","0,3"
26,667,8,2015-12-27,00,05,13:00,14:50,05:30,3195,"MADRID, RETIRO","0,0","952,9","949,1",MADRID,"6,4","13,5","9,4","5,4","2,2"
27,667,14,2015-12-28,00,18,12:20,13:10,07:55,3195,"MADRID, RETIRO","3,3","949,6","946,2",MADRID,"8,3","14,1","10,2","6,2","2,2"
28,667,25,2015-12-29,23,00,02:50,Varias,08:50,3195,"MADRID, RETIRO","0,0","953,8","947,2",MADRID,"6,1","10,6","8,1","5,6","1,1"
29,667,22,2015-12-30,00,24,20:20,19:40,07:20,3195,"MADRID, RETIRO","0,5","953,5","947,7",MADRID,"5,0","10,4","8,6","6,8","0,3"
30,667,27,2015-12-31,10,Varias,Varias,13:10,20:30,3195,"MADRID, RETIRO","0,1","948,0","946,8",MADRID,"6,1","12,2","10,7","9,2","1,4"
