,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,8.0,2018-05-01,11,18,08:20,15:50,05:00,3195,"MADRID, RETIRO","0,0","938,9","936,2",MADRID,"6,7","15,9","10,7","5,5","0,8"
1,667,26.0,2018-05-02,24,05,11:30,13:30,05:30,3195,"MADRID, RETIRO","0,0","938,5","936,4",MADRID,"8,3","17,8","12,1","6,4","1,4"
2,667,2.0,2018-05-03,00,15,21:20,14:30,04:20,3195,"MADRID, RETIRO","0,0","938,5","935,7",MADRID,"11,4","19,4","14,4","9,3","1,9"
3,667,4.0,2018-05-04,24,Varias,07:00,16:00,05:30,3195,"MADRID, RETIRO","0,0","938,8","936,3",MADRID,"11,1","20,5","14,0","7,5","2,2"
4,667,12.0,2018-05-05,24,Varias,21:00,14:40,05:50,3195,"MADRID, RETIRO",Ip,"940,9","937,2",MADRID,"13,3","24,3","17,1","9,9","1,7"
5,667,8.0,2018-05-06,09,18,21:00,14:50,04:50,3195,"MADRID, RETIRO","1,5","942,1","937,6",MADRID,"12,8","24,0","18,4","12,8","1,7"
6,667,9.0,2018-05-07,10,17,19:00,15:15,Varias,3195,"MADRID, RETIRO","13,5","940,6","936,4",MADRID,"16,7","22,7","17,6","12,4","1,4"
7,667,8.0,2018-05-08,10,17,14:40,13:40,05:30,3195,"MADRID, RETIRO","0,2","937,1","933,9",MADRID,"7,8","25,2","18,8","12,5","1,1"
8,667,31.0,2018-05-09,00,17,19:10,13:50,05:30,3195,"MADRID, RETIRO","0,0","935,6","933,2",MADRID,"7,8","25,0","19,1","13,2","1,9"
9,667,3.0,2018-05-10,24,00,07:10,14:10,06:20,3195,"MADRID, RETIRO","0,0","939,5","934,8",MADRID,"10,3","23,9","18,7","13,5","2,5"
10,667,26.0,2018-05-11,10,18,20:00,14:50,06:00,3195,"MADRID, RETIRO","0,0","941,2","938,0",MADRID,"8,6","25,1","19,2","13,3","2,2"
11,667,31.0,2018-05-12,24,15,17:20,12:40,23:50,3195,"MADRID, RETIRO","0,0","941,4","937,4",MADRID,"11,1","20,2","15,4","10,5","3,1"
12,667,26.0,2018-05-13,10,00,15:30,16:30,05:20,3195,"MADRID, RETIRO","0,0","943,9","941,4",MADRID,"10,3","17,5","11,8","6,0","2,5"
13,667,7.0,2018-05-14,00,19,23:10,15:10,05:50,3195,"MADRID, RETIRO","0,0","943,7","940,2",MADRID,"10,0","19,4","14,9","10,4","1,7"
14,667,4.0,2018-05-15,08,19,22:10,15:40,04:40,3195,"MADRID, RETIRO","0,0","942,1","938,0",MADRID,"12,2","23,5","15,8","8,0","1,9"
15,667,4.0,2018-05-16,Varias,Varias,00:00,14:30,05:20,3195,"MADRID, RETIRO","0,0","940,0","936,1",MADRID,"11,4","25,0","18,4","11,8","2,2"
16,667,1.0,2018-05-17,11,Varias,22:40,14:40,04:30,3195,"MADRID, RETIRO",Ip,"938,6","935,4",MADRID,"9,4","25,3","20,0","14,8","1,1"
17,667,19.0,2018-05-18,23,Varias,14:40,12:10,Varias,3195,"MADRID, RETIRO","0,7","940,2","937,2",MADRID,"9,7","23,2","18,7","14,2","0,8"
18,667,4.0,2018-05-19,09,20,23:59,12:50,04:30,3195,"MADRID, RETIRO","0,1","941,1","937,3",MADRID,"11,1","25,4","19,5","13,6","0,6"
19,667,3.0,2018-05-20,00,18,00:30,15:20,04:40,3195,"MADRID, RETIRO","0,0","939,6","934,4",MADRID,"12,8","22,5","17,9","13,3","1,1"
20,667,3.0,2018-05-21,24,16,19:00,14:50,04:10,3195,"MADRID, RETIRO","5,6","936,8","933,4",MADRID,"9,4","24,3","19,0","13,6","0,8"
21,667,33.0,2018-05-22,24,04,13:20,12:30,04:50,3195,"MADRID, RETIRO","0,1","939,0","936,2",MADRID,"6,1","24,6","18,6","12,6","0,0"
22,667,23.0,2018-05-23,Varias,17,Varias,15:40,05:10,3195,"MADRID, RETIRO","0,3","940,1","937,3",MADRID,"15,3","26,3","20,8","15,3","1,4"
23,667,,2018-05-24,09,18,,16:10,05:15,3195,"MADRID, RETIRO","28,9","939,4","933,5",MADRID,,"27,7","21,7","15,7",
24,667,,2018-05-25,01,17,,16:30,08:40,3195,"MADRID, RETIRO","8,9","938,5","935,1",MADRID,,"19,5","15,8","12,0",
25,667,,2018-05-26,22,04,,14:00,01:50,3195,"MADRID, RETIRO","0,0","937,4","936,0",MADRID,,"22,0","16,9","11,8",
26,667,,2018-05-27,Varias,19,,14:00,03:50,3195,"MADRID, RETIRO","3,6","938,2","934,7",MADRID,,"25,5","19,3","13,1",
27,667,,2018-05-28,22,15,,14:30,23:59,3195,"MADRID, RETIRO","13,8","938,4","935,4",MADRID,,"17,8","15,5","13,2",
28,667,,2018-05-29,00,18,,11:10,Varias,3195,"MADRID, RETIRO","1,0","937,9","935,7",MADRID,,"19,9","16,2","12,6",
29,667,,2018-05-30,24,05,,18:00,05:15,3195,"MADRID, RETIRO","0,2","939,0","936,0",MADRID,,"18,6","14,8","11,0",
30,667,,2018-05-31,24,00,,14:00,05:30,3195,"MADRID, RETIRO","0,0","941,1","939,0",MADRID,,"23,1","17,8","12,5",
