,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,23,2013-08-01,07,18,17:10,14:20,05:50,3195,"MADRID, RETIRO","0,0","939,0","935,3",MADRID,"8,1","37,0","29,6","22,3","2,8"
1,667,24,2013-08-02,24,00,15:00,14:10,05:30,3195,"MADRID, RETIRO","0,0","941,0","937,2",MADRID,"10,6","33,4","27,1","20,8","2,5"
2,667,29,2013-08-03,24,18,15:10,14:10,05:30,3195,"MADRID, RETIRO","0,0","941,9","939,8",MADRID,"10,8","33,6","26,2","18,9","1,7"
3,667,18,2013-08-04,07,Varias,15:40,14:50,06:10,3195,"MADRID, RETIRO","0,0","943,4","940,0",MADRID,"7,8","34,7","26,3","17,9","1,9"
4,667,23,2013-08-05,00,18,14:20,14:20,06:15,3195,"MADRID, RETIRO","0,0","940,9","938,0",MADRID,"10,0","35,4","27,5","19,6","2,2"
5,667,25,2013-08-06,Varias,18,14:40,13:50,06:10,3195,"MADRID, RETIRO","0,1","938,7","935,7",MADRID,"11,4","31,4","26,0","20,6","2,8"
6,667,34,2013-08-07,24,17,18:30,14:40,07:30,3195,"MADRID, RETIRO","0,0","938,9","934,8",MADRID,"9,7","31,6","25,6","19,5","2,5"
7,667,5,2013-08-08,24,00,22:00,14:40,05:30,3195,"MADRID, RETIRO","0,0","946,9","938,9",MADRID,"10,8","30,6","23,6","16,5","2,5"
8,667,9,2013-08-09,Varias,Varias,00:10,14:30,05:30,3195,"MADRID, RETIRO","0,0","947,6","943,9",MADRID,"7,8","32,6","24,5","16,4","1,1"
9,667,3,2013-08-10,09,18,23:40,14:15,06:05,3195,"MADRID, RETIRO","0,0","945,9","941,1",MADRID,"7,5","36,0","28,3","20,6","1,4"
10,667,5,2013-08-11,07,18,00:50,13:40,06:15,3195,"MADRID, RETIRO","0,0","943,0","938,4",MADRID,"6,9","37,5","29,4","21,4","1,7"
11,667,11,2013-08-12,Varias,Varias,18:50,13:40,06:50,3195,"MADRID, RETIRO","0,3","940,0","936,5",MADRID,"10,8","36,3","30,0","23,6","1,9"
12,667,9,2013-08-13,24,18,22:30,13:55,06:20,3195,"MADRID, RETIRO","0,0","941,6","938,5",MADRID,"8,1","34,6","28,0","21,5","2,8"
13,667,8,2013-08-14,08,18,10:20,14:20,06:20,3195,"MADRID, RETIRO","0,0","943,4","939,3",MADRID,"9,2","35,0","28,4","21,8","1,1"
14,667,5,2013-08-15,09,19,01:30,13:20,06:00,3195,"MADRID, RETIRO","0,0","942,5","939,3",MADRID,"8,6","35,3","29,0","22,7","1,7"
15,667,27,2013-08-16,Varias,Varias,15:20,14:15,05:45,3195,"MADRID, RETIRO","0,0","941,9","938,2",MADRID,"12,2","35,1","28,4","21,7","1,9"
16,667,4,2013-08-17,09,17,23:00,14:05,Varias,3195,"MADRID, RETIRO","0,0","942,3","938,3",MADRID,"7,8","34,0","27,0","20,0","1,7"
17,667,23,2013-08-18,10,18,14:05,15:10,06:10,3195,"MADRID, RETIRO","0,0","942,3","939,5",MADRID,"6,9","34,6","28,0","21,4","1,1"
18,667,5,2013-08-19,11,Varias,22:50,14:10,05:50,3195,"MADRID, RETIRO","0,0","943,3","940,0",MADRID,"8,6","36,5","28,9","21,3","1,4"
19,667,4,2013-08-20,09,16,01:40,13:20,06:10,3195,"MADRID, RETIRO","0,0","944,9","940,0",MADRID,"9,4","36,7","29,0","21,3","1,9"
20,667,6,2013-08-21,09,18,00:10,14:40,06:30,3195,"MADRID, RETIRO","0,0","943,7","938,7",MADRID,"8,3","36,3","29,0","21,7","1,9"
21,667,25,2013-08-22,07,18,16:50,14:15,06:30,3195,"MADRID, RETIRO","0,0","940,0","936,5",MADRID,"9,2","34,9","28,2","21,5","1,7"
22,667,9,2013-08-23,Varias,18,08:20,14:10,05:30,3195,"MADRID, RETIRO","0,0","938,3","936,2",MADRID,"5,8","34,6","26,8","19,0","1,4"
23,667,5,2013-08-24,11,19,20:20,14:10,06:10,3195,"MADRID, RETIRO","0,0","939,1","936,1",MADRID,"12,8","33,5","27,4","21,4","0,8"
24,667,5,2013-08-25,Varias,18,22:10,14:30,06:30,3195,"MADRID, RETIRO","0,0","939,3","933,1",MADRID,"11,4","31,3","24,4","17,4","2,5"
25,667,4,2013-08-26,24,18,01:50,14:15,05:40,3195,"MADRID, RETIRO","0,0","936,3","932,5",MADRID,"11,1","31,0","24,3","17,6","1,9"
26,667,2,2013-08-27,24,19,00:40,14:40,05:50,3195,"MADRID, RETIRO","0,0","938,1","935,7",MADRID,"10,3","30,8","24,2","17,6","2,5"
27,667,4,2013-08-28,24,18,02:20,14:45,05:30,3195,"MADRID, RETIRO","0,5","941,0","937,7",MADRID,"11,7","28,0","23,0","18,1","3,1"
28,667,7,2013-08-29,24,15,15:30,15:10,04:50,3195,"MADRID, RETIRO","0,0","943,4","940,9",MADRID,"11,7","28,0","22,1","16,2","3,1"
29,667,15,2013-08-30,24,18,20:10,13:50,06:10,3195,"MADRID, RETIRO","0,0","944,6","942,2",MADRID,"8,3","28,8","22,8","16,8","2,2"
30,667,3,2013-08-31,10,18,22:10,14:30,06:15,3195,"MADRID, RETIRO","0,0","945,6","942,7",MADRID,"8,6","30,0","23,6","17,1","1,4"
