,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,21,2015-01-01,24,Varias,13:40,13:30,05:20,3195,"MADRID, RETIRO","0,0","957,8","953,0",MADRID,"3,9","10,4","4,7","-1,0","0,8"
1,667,4,2015-01-02,10,04,23:40,15:10,07:20,3195,"MADRID, RETIRO","0,0","959,9","956,9",MADRID,"3,9","12,0","5,5","-1,0","0,6"
2,667,4,2015-01-03,00,18,06:20,14:50,08:10,3195,"MADRID, RETIRO","0,0","959,4","957,3",MADRID,"3,6","11,4","6,3","1,2","0,3"
3,667,4,2015-01-04,00,24,02:20,13:15,08:10,3195,"MADRID, RETIRO","0,0","957,9","952,8",MADRID,"3,3","14,0","7,7","1,4","0,3"
4,667,4,2015-01-05,00,24,04:30,15:20,07:10,3195,"MADRID, RETIRO","0,0","952,8","948,8",MADRID,"5,3","12,0","6,8","1,5","1,4"
5,667,8,2015-01-06,24,16,08:40,15:10,07:40,3195,"MADRID, RETIRO","0,0","950,0","946,9",MADRID,"3,1","9,8","5,3","0,8","0,8"
6,667,6,2015-01-07,24,05,06:30,14:50,08:10,3195,"MADRID, RETIRO","0,0","954,5","949,5",MADRID,"4,4","10,7","5,8","0,8","1,1"
7,667,4,2015-01-08,22,00,00:30,15:00,05:30,3195,"MADRID, RETIRO","0,0","962,5","954,5",MADRID,"5,3","12,3","6,4","0,4","0,8"
8,667,5,2015-01-09,07,00,07:20,15:40,05:10,3195,"MADRID, RETIRO","0,0","963,1","962,3",MADRID,"4,2","13,5","7,8","2,0","0,3"
9,667,27,2015-01-10,00,24,15:30,14:50,08:00,3195,"MADRID, RETIRO","0,0","962,8","953,5",MADRID,"3,3","12,6","7,2","1,7","0,8"
10,667,2,2015-01-11,24,13,23:00,15:45,07:50,3195,"MADRID, RETIRO","0,0","954,7","952,0",MADRID,"5,8","13,7","8,0","2,4","0,8"
11,667,4,2015-01-12,11,24,01:10,Varias,07:15,3195,"MADRID, RETIRO","0,0","954,8","950,1",MADRID,"7,2","11,8","7,7","3,6","1,1"
12,667,26,2015-01-13,00,17,18:00,16:15,07:30,3195,"MADRID, RETIRO","0,0","950,1","946,0",MADRID,"6,9","12,4","7,4","2,4","1,4"
13,667,8,2015-01-14,10,Varias,Varias,14:10,06:40,3195,"MADRID, RETIRO","0,0","949,8","947,3",MADRID,"3,3","8,2","5,3","2,4","0,6"
14,667,22,2015-01-15,00,24,15:50,14:30,Varias,3195,"MADRID, RETIRO","6,1","947,3","934,3",MADRID,"10,3","10,8","7,9","5,0","1,4"
15,667,31,2015-01-16,24,03,11:40,Varias,06:40,3195,"MADRID, RETIRO","0,0","943,0","932,1",MADRID,"9,7","8,0","5,3","2,6","2,2"
16,667,22,2015-01-17,11,24,14:30,13:50,07:30,3195,"MADRID, RETIRO","0,0","946,3","941,9",MADRID,"7,5","8,5","3,7","-1,1","1,7"
17,667,1,2015-01-18,00,24,22:30,13:50,03:30,3195,"MADRID, RETIRO","6,8","941,9","930,0",MADRID,"13,9","3,5","1,9","0,3","0,6"
18,667,3,2015-01-19,20,01,10:00,13:30,01:15,3195,"MADRID, RETIRO","0,0","936,2","929,7",MADRID,"15,3","7,2","3,9","0,6","4,4"
19,667,26,2015-01-20,00,14,16:10,15:10,02:10,3195,"MADRID, RETIRO","0,0","935,4","930,8",MADRID,"6,1","6,5","3,4","0,2","0,8"
20,667,29,2015-01-21,Varias,Varias,16:50,13:30,06:45,3195,"MADRID, RETIRO","0,4","933,8","932,1",MADRID,"11,1","5,6","3,2","0,8","1,7"
21,667,32,2015-01-22,Varias,00,01:30,13:30,05:00,3195,"MADRID, RETIRO","0,0","942,2","932,9",MADRID,"11,9","8,4","5,1","1,8","2,5"
22,667,2,2015-01-23,24,00,19:30,13:50,Varias,3195,"MADRID, RETIRO","0,0","947,0","942,2",MADRID,"8,6","9,8","5,1","0,4","2,8"
23,667,2,2015-01-24,11,02,20:00,16:10,07:20,3195,"MADRID, RETIRO","0,0","950,0","946,8",MADRID,"13,9","10,7","4,6","-1,4","0,0"
24,667,34,2015-01-25,11,Varias,02:00,14:45,08:05,3195,"MADRID, RETIRO","0,0","949,7","947,4",MADRID,"10,8","12,6","7,2","1,8","1,7"
25,667,5,2015-01-26,24,06,19:30,16:10,07:40,3195,"MADRID, RETIRO","0,0","950,2","947,6",MADRID,"5,0","12,9","6,7","0,5","0,8"
26,667,2,2015-01-27,11,24,16:10,14:45,06:50,3195,"MADRID, RETIRO","0,0","950,7","947,8",MADRID,"10,6","13,3","7,6","2,0","1,1"
27,667,33,2015-01-28,00,24,17:05,15:50,07:50,3195,"MADRID, RETIRO","0,0","947,8","943,3",MADRID,"6,4","12,8","7,0","1,3","0,3"
28,667,25,2015-01-29,00,24,19:00,Varias,04:10,3195,"MADRID, RETIRO",Ip,"943,3","931,4",MADRID,"12,2","12,2","8,0","3,9","2,8"
29,667,25,2015-01-30,00,23,20:00,12:30,Varias,3195,"MADRID, RETIRO","3,7","931,4","918,8",MADRID,"14,2","15,4","12,5","9,6","4,2"
30,667,28,2015-01-31,24,05,03:20,00:00,23:59,3195,"MADRID, RETIRO",Ip,"931,2","917,2",MADRID,"18,9","10,8","7,1","3,4","5,6"
