,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,25,2013-10-01,10,06,11:10,13:20,06:55,3195,"MADRID, RETIRO","0,0","937,3","934,3",MADRID,"12,2","23,2","20,4","17,5","3,6"
1,667,23,2013-10-02,00,24,14:30,14:14,06:10,3195,"MADRID, RETIRO","0,4","937,2","933,8",MADRID,"4,4","24,8","20,3","15,8","0,6"
2,667,23,2013-10-03,Varias,00,16:10,15:40,04:30,3195,"MADRID, RETIRO","0,0","938,8","933,8",MADRID,"7,2","23,6","20,6","17,6","1,7"
3,667,23,2013-10-04,24,04,14:30,13:15,23:59,3195,"MADRID, RETIRO","6,0","943,6","938,0",MADRID,"9,2","22,7","18,8","15,0","2,5"
4,667,4,2013-10-05,11,00,23:30,13:10,06:15,3195,"MADRID, RETIRO","0,0","946,2","943,6",MADRID,"8,6","24,0","18,8","13,5","0,8"
5,667,5,2013-10-06,10,18,21:50,13:15,06:30,3195,"MADRID, RETIRO","0,0","947,5","944,0",MADRID,"8,3","22,6","17,9","13,2","0,8"
6,667,4,2013-10-07,10,16,04:40,13:10,06:30,3195,"MADRID, RETIRO","0,0","945,7","942,9",MADRID,"8,3","22,8","17,6","12,3","1,4"
7,667,2,2013-10-08,10,16,23:20,13:20,05:30,3195,"MADRID, RETIRO","0,0","946,2","943,6",MADRID,"6,9","23,5","18,1","12,7","1,4"
8,667,2,2013-10-09,Varias,18,00:50,13:30,07:30,3195,"MADRID, RETIRO","0,0","944,7","941,0",MADRID,"7,2","23,4","18,6","13,7","1,1"
9,667,23,2013-10-10,Varias,18,13:20,13:10,06:50,3195,"MADRID, RETIRO","0,0","941,8","937,6",MADRID,"6,4","24,2","18,6","13,0","1,7"
10,667,5,2013-10-11,24,17,20:50,13:15,07:20,3195,"MADRID, RETIRO","0,0","938,3","934,7",MADRID,"10,0","22,5","16,4","10,2","1,1"
11,667,3,2013-10-12,22,01,00:20,14:55,06:40,3195,"MADRID, RETIRO","0,0","941,2","938,2",MADRID,"7,8","20,2","14,9","9,6","1,9"
12,667,23,2013-10-13,Varias,00,13:20,13:35,04:40,3195,"MADRID, RETIRO","0,0","944,0","941,1",MADRID,"6,1","17,5","13,8","10,2","1,1"
13,667,23,2013-10-14,00,18,16:40,14:30,Varias,3195,"MADRID, RETIRO","0,0","944,0","943,0",MADRID,"6,9","20,8","15,6","10,3","1,4"
14,667,26,2013-10-15,Varias,04,10:20,15:10,05:50,3195,"MADRID, RETIRO","0,0","944,9","943,1",MADRID,"6,4","20,6","16,6","12,6","1,7"
15,667,12,2013-10-16,11,17,11:20,16:05,03:55,3195,"MADRID, RETIRO","0,0","945,7","943,3",MADRID,"3,9","22,2","17,5","12,8","0,8"
16,667,4,2013-10-17,00,Varias,08:20,15:10,06:50,3195,"MADRID, RETIRO","0,0","944,2","938,9",MADRID,"5,3","24,2","18,8","13,4","0,3"
17,667,23,2013-10-18,09,18,12:00,14:15,06:10,3195,"MADRID, RETIRO","0,0","939,4","936,8",MADRID,"6,9","24,0","18,2","12,4","1,9"
18,667,22,2013-10-19,11,00,15:30,14:30,22:00,3195,"MADRID, RETIRO","3,6","941,6","938,1",MADRID,"8,3","21,2","18,0","14,9","1,1"
19,667,23,2013-10-20,22,05,14:50,07:50,23:59,3195,"MADRID, RETIRO","0,0","943,5","940,0",MADRID,"8,9","19,5","16,2","12,9","2,8"
20,667,25,2013-10-21,00,24,12:50,13:10,05:30,3195,"MADRID, RETIRO","0,0","942,9","937,0",MADRID,"6,4","20,1","15,6","11,1","1,4"
21,667,14,2013-10-22,01,15,12:50,08:20,03:50,3195,"MADRID, RETIRO","5,6","937,3","932,6",MADRID,"9,2","15,5","14,4","13,2","2,2"
22,667,26,2013-10-23,21,00,14:10,13:05,06:55,3195,"MADRID, RETIRO","2,9","941,0","935,8",MADRID,"9,4","18,9","15,6","12,2","1,9"
23,667,19,2013-10-24,00,17,18:20,Varias,Varias,3195,"MADRID, RETIRO","16,6","940,7","935,0",MADRID,"9,4","19,0","16,0","13,1","2,2"
24,667,9,2013-10-25,24,05,15:20,14:30,06:50,3195,"MADRID, RETIRO","8,1","939,3","933,4",MADRID,"5,3","16,6","15,1","13,6","1,1"
25,667,26,2013-10-26,24,00,14:10,14:40,23:59,3195,"MADRID, RETIRO","0,0","945,3","939,3",MADRID,"5,8","18,6","15,7","12,8","1,4"
26,667,20,2013-10-27,11,24,13:30,14:10,07:15,3195,"MADRID, RETIRO","0,0","948,7","945,2",MADRID,"5,3","19,6","15,0","10,4","1,1"
27,667,31,2013-10-28,00,16,22:10,14:20,07:15,3195,"MADRID, RETIRO","0,0","945,2","940,0",MADRID,"10,8","19,4","14,8","10,2","0,8"
28,667,29,2013-10-29,Varias,03,00:50,12:50,06:50,3195,"MADRID, RETIRO","0,0","945,4","940,5",MADRID,"10,8","14,6","11,0","7,4","2,2"
29,667,3,2013-10-30,09,15,18:10,15:10,05:10,3195,"MADRID, RETIRO","0,0","946,0","943,5",MADRID,"7,8","14,7","10,4","6,0","1,9"
30,667,30,2013-10-31,10,Varias,20:10,15:20,06:40,3195,"MADRID, RETIRO","0,0","947,0","945,0",MADRID,"4,2","15,9","10,4","5,0","0,8"
