,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,26.0,2017-08-01,24,00,15:40,14:30,06:20,3195,"MADRID, RETIRO","0,0","940,2","935,1",MADRID,"7,8","33,0","26,5","20,0","1,7"
1,667,,2017-08-02,,,,,,3195,"MADRID, RETIRO","0,0",,,MADRID,,,,,"3,1"
2,667,26.0,2017-08-03,09,18,14:00,14:20,03:30,3195,"MADRID, RETIRO","0,0","943,0","939,7",MADRID,"7,2","36,7","29,6","22,5","1,4"
3,667,2.0,2017-08-04,10,19,22:00,15:00,05:00,3195,"MADRID, RETIRO","0,0","942,0","937,8",MADRID,"5,3","37,5","30,6","23,6","1,1"
4,667,26.0,2017-08-05,Varias,18,14:00,14:30,05:20,3195,"MADRID, RETIRO","0,0","940,1","936,3",MADRID,"11,9","39,2","32,2","25,1","2,2"
5,667,99.0,2017-08-06,Varias,18,Varias,13:50,06:30,3195,"MADRID, RETIRO","0,0","940,8","936,9",MADRID,"9,2","36,5","29,4","22,2","2,5"
6,667,27.0,2017-08-07,07,19,15:40,13:30,05:40,3195,"MADRID, RETIRO","0,0","939,0","934,6",MADRID,"15,8","35,6","29,0","22,5","3,6"
7,667,29.0,2017-08-08,Varias,04,00:30,13:30,05:40,3195,"MADRID, RETIRO","0,0","939,4","935,6",MADRID,"10,0","30,2","24,0","17,7","1,9"
8,667,3.0,2017-08-09,24,16,23:30,14:40,23:59,3195,"MADRID, RETIRO","0,0","944,4","937,9",MADRID,"16,1","29,8","22,8","15,8","2,2"
9,667,3.0,2017-08-10,09,19,00:20,14:40,06:00,3195,"MADRID, RETIRO","0,0","947,3","943,9",MADRID,"13,6","27,0","19,8","12,5","2,2"
10,667,5.0,2017-08-11,08,17,22:30,13:50,06:20,3195,"MADRID, RETIRO","0,0","946,5","942,9",MADRID,"10,0","28,5","21,0","13,4","1,1"
11,667,5.0,2017-08-12,Varias,18,00:10,14:50,05:40,3195,"MADRID, RETIRO","0,0","945,8","941,6",MADRID,"8,9","32,4","25,0","17,6","1,4"
12,667,4.0,2017-08-13,10,18,00:30,14:40,05:50,3195,"MADRID, RETIRO","0,0","942,9","938,5",MADRID,"7,5","33,5","26,8","20,2","1,7"
13,667,13.0,2017-08-14,08,18,21:40,13:50,06:10,3195,"MADRID, RETIRO","0,0","941,5","937,5",MADRID,"6,9","35,0","28,2","21,3","1,7"
14,667,26.0,2017-08-15,Varias,Varias,17:40,13:50,06:15,3195,"MADRID, RETIRO","0,0","941,6","939,4",MADRID,"9,7","34,6","28,5","22,4","2,8"
15,667,4.0,2017-08-16,09,02,23:40,14:10,05:15,3195,"MADRID, RETIRO","0,0","943,4","940,6",MADRID,"7,5","34,6","27,6","20,6","1,1"
16,667,3.0,2017-08-17,09,19,00:10,14:10,05:40,3195,"MADRID, RETIRO","0,0","945,3","940,2",MADRID,"9,2","36,0","29,2","22,5","1,4"
17,667,5.0,2017-08-18,08,17,23:00,14:10,07:00,3195,"MADRID, RETIRO","0,0","942,4","938,1",MADRID,"8,1","36,6","30,1","23,6","1,9"
18,667,99.0,2017-08-19,24,Varias,Varias,14:30,06:30,3195,"MADRID, RETIRO","0,0","942,5","940,0",MADRID,"10,6","35,3","28,4","21,6","1,1"
19,667,4.0,2017-08-20,Varias,Varias,23:30,14:50,06:10,3195,"MADRID, RETIRO","0,0","944,7","940,8",MADRID,"8,3","35,7","28,8","22,0","0,8"
20,667,1.0,2017-08-21,Varias,18,00:00,14:40,Varias,3195,"MADRID, RETIRO","0,0","944,0","938,7",MADRID,"7,5","36,0","30,0","24,0","1,1"
21,667,14.0,2017-08-22,Varias,18,00:10,14:10,06:20,3195,"MADRID, RETIRO","0,0","942,0","938,0",MADRID,"7,2","36,6","30,4","24,1","1,7"
22,667,26.0,2017-08-23,10,18,14:20,13:50,04:20,3195,"MADRID, RETIRO","0,0","940,7","937,7",MADRID,"7,5","35,9","29,8","23,7","1,9"
23,667,26.0,2017-08-24,10,18,14:30,14:00,05:20,3195,"MADRID, RETIRO","0,0","940,4","938,3",MADRID,"10,3","35,5","28,9","22,3","2,5"
24,667,26.0,2017-08-25,10,18,14:50,13:20,05:50,3195,"MADRID, RETIRO","0,0","940,8","937,7",MADRID,"8,6","34,4","27,2","20,0","1,7"
25,667,10.0,2017-08-26,Varias,00,23:50,13:15,06:20,3195,"MADRID, RETIRO","0,8","940,7","939,0",MADRID,"6,7","30,8","26,0","21,1","0,8"
26,667,25.0,2017-08-27,10,18,10:30,16:00,Varias,3195,"MADRID, RETIRO","0,3","941,5","938,2",MADRID,"11,1","28,0","24,4","20,8","1,9"
27,667,26.0,2017-08-28,09,Varias,12:40,00:00,18:30,3195,"MADRID, RETIRO","24,9","940,8","938,8",MADRID,"15,3","22,4","19,6","16,8","1,1"
28,667,11.0,2017-08-29,00,16,11:00,14:15,05:40,3195,"MADRID, RETIRO","0,0","939,7","936,6",MADRID,"5,8","25,6","20,9","16,2","1,1"
29,667,27.0,2017-08-30,11,16,15:10,14:10,06:50,3195,"MADRID, RETIRO","0,0","940,2","938,0",MADRID,"6,9","26,5","22,1","17,7","1,9"
30,667,3.0,2017-08-31,Varias,00,22:40,14:30,05:40,3195,"MADRID, RETIRO","0,0","942,0","939,5",MADRID,"7,5","28,0","23,2","18,4","1,1"
