,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,27,2013-11-01,00,18,15:00,13:50,06:50,3195,"MADRID, RETIRO","0,0","946,2","944,4",MADRID,"6,4","16,4","11,0","5,6","0,8"
1,667,28,2013-11-02,00,17,15:50,13:10,06:50,3195,"MADRID, RETIRO","0,0","944,9","941,3",MADRID,"8,1","17,0","12,2","7,5","1,7"
2,667,21,2013-11-03,Varias,24,12:30,14:40,02:10,3195,"MADRID, RETIRO","0,0","943,5","941,0",MADRID,"4,7","16,2","12,7","9,2","0,3"
3,667,27,2013-11-04,00,16,23:57,16:30,07:10,3195,"MADRID, RETIRO","0,0","941,0","935,8",MADRID,"12,8","15,2","12,6","9,9","3,3"
4,667,29,2013-11-05,24,01,00:30,13:50,00:00,3195,"MADRID, RETIRO","0,0","944,4","937,8",MADRID,"13,6","20,4","17,2","14,1","3,6"
5,667,26,2013-11-06,Varias,Varias,14:40,14:30,07:25,3195,"MADRID, RETIRO","0,0","945,0","942,0",MADRID,"5,8","20,0","15,2","10,3","0,8"
6,667,27,2013-11-07,24,07,22:40,15:45,02:15,3195,"MADRID, RETIRO","0,0","943,2","942,3",MADRID,"5,0","15,4","13,3","11,2","1,1"
7,667,30,2013-11-08,24,Varias,18:30,14:50,03:40,3195,"MADRID, RETIRO","0,0","944,0","941,0",MADRID,"10,3","15,0","12,0","9,0","1,4"
8,667,22,2013-11-09,23,02,13:10,13:50,07:50,3195,"MADRID, RETIRO","0,0","948,5","943,8",MADRID,"13,1","14,5","10,6","6,6","1,9"
9,667,34,2013-11-10,11,16,04:40,12:45,Varias,3195,"MADRID, RETIRO","0,0","949,7","948,0",MADRID,"11,9","16,8","13,2","9,6","1,7"
10,667,3,2013-11-11,10,23,19:30,15:15,04:45,3195,"MADRID, RETIRO","0,0","949,3","946,3",MADRID,"7,8","18,9","13,4","8,0","0,8"
11,667,4,2013-11-12,00,16,21:40,15:10,07:30,3195,"MADRID, RETIRO","0,0","946,5","943,2",MADRID,"8,3","19,7","14,0","8,2","0,8"
12,667,4,2013-11-13,24,13,05:40,13:50,03:50,3195,"MADRID, RETIRO","0,0","947,0","943,8",MADRID,"11,9","18,0","14,8","11,5","3,1"
13,667,4,2013-11-14,Varias,00,19:30,14:25,23:59,3195,"MADRID, RETIRO","0,0","949,3","947,0",MADRID,"11,1","16,4","11,6","6,8","2,5"
14,667,34,2013-11-15,00,24,11:00,13:40,23:59,3195,"MADRID, RETIRO","0,0","947,8","940,5",MADRID,"17,5","11,4","7,9","4,4","3,1"
15,667,3,2013-11-16,00,13,09:05,12:50,17:40,3195,"MADRID, RETIRO","2,2","940,5","938,9",MADRID,"11,7","7,5","5,2","3,0","1,9"
16,667,6,2013-11-17,00,24,01:50,15:55,23:59,3195,"MADRID, RETIRO","10,1","939,8","934,5",MADRID,"5,0","6,5","5,0","3,6","1,1"
17,667,1,2013-11-18,00,14,16:40,15:55,Varias,3195,"MADRID, RETIRO","0,3","934,5","929,8",MADRID,"9,7","11,0","6,8","2,7","1,1"
18,667,3,2013-11-19,24,Varias,21:40,14:20,07:10,3195,"MADRID, RETIRO","0,0","939,6","932,4",MADRID,"13,1","13,2","8,5","3,8","2,2"
19,667,2,2013-11-20,07,Varias,00:50,Varias,07:30,3195,"MADRID, RETIRO","0,0","940,9","939,6",MADRID,"9,7","8,8","5,6","2,4","1,4"
20,667,29,2013-11-21,00,24,20:00,14:50,06:20,3195,"MADRID, RETIRO","0,0","939,6","931,6",MADRID,"11,1","10,4","5,7","1,0","2,5"
21,667,28,2013-11-22,24,02,01:50,13:50,07:10,3195,"MADRID, RETIRO","0,0","935,5","931,5",MADRID,"8,9","10,8","7,4","3,9","1,9"
22,667,3,2013-11-23,11,00,16:40,14:10,06:15,3195,"MADRID, RETIRO","0,0","938,0","935,5",MADRID,"11,7","9,7","5,0","0,4","1,7"
23,667,35,2013-11-24,24,00,15:20,14:15,07:30,3195,"MADRID, RETIRO","0,0","941,8","937,4",MADRID,"10,0","10,7","5,6","0,4","2,8"
24,667,2,2013-11-25,24,00,15:10,15:15,07:00,3195,"MADRID, RETIRO","0,0","945,3","941,8",MADRID,"8,1","12,7","6,6","0,4","1,4"
25,667,7,2013-11-26,24,15,15:20,13:20,08:00,3195,"MADRID, RETIRO","0,0","945,4","943,9",MADRID,"13,3","10,8","6,0","1,1","3,1"
26,667,5,2013-11-27,24,17,22:40,14:05,Varias,3195,"MADRID, RETIRO","1,1","946,4","942,7",MADRID,"12,8","10,1","5,6","1,2","2,5"
27,667,5,2013-11-28,11,00,00:10,14:30,Varias,3195,"MADRID, RETIRO","0,0","950,0","946,4",MADRID,"10,8","7,7","3,8","0,0","2,2"
28,667,4,2013-11-29,10,14,03:10,14:45,06:50,3195,"MADRID, RETIRO","0,0","950,1","947,2",MADRID,"3,6","9,0","3,8","-1,3","0,8"
29,667,1,2013-11-30,00,18,20:10,18:40,Varias,3195,"MADRID, RETIRO","0,0","948,0","938,5",MADRID,"11,9","7,9","3,8","-0,2","1,7"
