,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,26,2019-02-01,23,16,14:10,01:30,17:50,3195,"MADRID, RETIRO","1,0","922,0","916,0",MADRID,"16,1","9,4","6,4","3,5","3,9"
1,667,32,2019-02-02,24,00,07:00,13:25,21:30,3195,"MADRID, RETIRO","0,0","940,1","920,7",MADRID,"14,2","7,5","4,6","1,6","3,9"
2,667,5,2019-02-03,24,00,02:40,14:30,07:50,3195,"MADRID, RETIRO","0,0","949,8","941,3",MADRID,"12,2","8,2","4,0","-0,3","1,4"
3,667,23,2019-02-04,10,17,16:40,15:55,07:20,3195,"MADRID, RETIRO","0,0","951,0","949,0",MADRID,"3,6","10,9","4,8","-1,4","0,8"
4,667,23,2019-02-05,11,17,10:50,16:10,08:00,3195,"MADRID, RETIRO","0,0","951,6","948,8",MADRID,"5,0","14,5","8,1","1,7","0,8"
5,667,26,2019-02-06,00,23,15:00,16:05,07:50,3195,"MADRID, RETIRO","0,0","949,5","945,0",MADRID,"6,1","15,0","9,7","4,4","1,7"
6,667,23,2019-02-07,11,15,18:40,16:10,07:55,3195,"MADRID, RETIRO","0,0","946,0","942,3",MADRID,"4,4","15,0","9,0","3,0","0,8"
7,667,24,2019-02-08,00,17,16:00,16:15,07:00,3195,"MADRID, RETIRO","0,0","945,5","942,7",MADRID,"7,8","14,3","8,6","2,8","1,1"
8,667,24,2019-02-09,11,17,19:30,16:10,08:10,3195,"MADRID, RETIRO","0,0","946,0","943,0",MADRID,"6,1","11,8","7,4","2,9","1,1"
9,667,24,2019-02-10,23,05,12:30,13:20,04:50,3195,"MADRID, RETIRO","0,0","946,0","943,0",MADRID,"10,8","11,2","7,6","4,1","2,5"
10,667,4,2019-02-11,24,00,09:00,14:50,07:10,3195,"MADRID, RETIRO","0,0","952,0","945,5",MADRID,"8,6","13,0","9,4","5,7","1,7"
11,667,5,2019-02-12,11,15,00:30,16:30,07:20,3195,"MADRID, RETIRO","0,0","953,8","951,1",MADRID,"8,3","13,0","8,0","3,0","0,8"
12,667,12,2019-02-13,11,Varias,13:10,16:30,Varias,3195,"MADRID, RETIRO","0,0","952,6","949,9",MADRID,"4,7","14,5","9,4","4,4","0,8"
13,667,99,2019-02-14,10,17,Varias,16:40,07:30,3195,"MADRID, RETIRO","0,0","953,7","949,9",MADRID,"5,0","13,1","8,0","3,0","0,8"
14,667,10,2019-02-15,Varias,17,21:00,15:30,07:30,3195,"MADRID, RETIRO","0,0","950,4","947,0",MADRID,"4,4","14,6","9,0","3,4","0,8"
15,667,12,2019-02-16,11,Varias,14:50,14:00,08:10,3195,"MADRID, RETIRO","0,0","949,2","946,0",MADRID,"8,1","16,2","11,0","5,9","2,8"
16,667,5,2019-02-17,00,17,06:40,16:20,07:20,3195,"MADRID, RETIRO","0,0","948,3","940,4",MADRID,"6,7","15,0","9,5","4,0","1,7"
17,667,14,2019-02-18,10,15,12:00,16:10,07:20,3195,"MADRID, RETIRO","0,0","942,9","939,5",MADRID,"5,0","14,3","9,4","4,5","1,1"
18,667,8,2019-02-19,Varias,16,11:50,16:30,06:40,3195,"MADRID, RETIRO","0,0","942,9","940,5",MADRID,"4,4","14,0","9,7","5,4","0,8"
19,667,25,2019-02-20,24,00,15:50,16:05,06:20,3195,"MADRID, RETIRO","0,0","947,2","942,8",MADRID,"5,3","14,5","9,4","4,3","0,6"
20,667,5,2019-02-21,24,00,01:40,16:10,07:30,3195,"MADRID, RETIRO","0,0","953,0","946,8",MADRID,"5,0","16,2","10,7","5,2","0,8"
21,667,6,2019-02-22,09,17,03:50,15:10,07:15,3195,"MADRID, RETIRO","0,0","953,7","949,7",MADRID,"6,1","18,1","11,6","5,0","0,8"
22,667,4,2019-02-23,10,18,05:40,Varias,07:20,3195,"MADRID, RETIRO","0,0","952,3","948,7",MADRID,"5,6","18,1","10,9","3,7","0,6"
23,667,4,2019-02-24,24,Varias,08:00,13:40,06:40,3195,"MADRID, RETIRO","0,0","954,1","949,9",MADRID,"6,1","18,7","13,4","8,1","0,8"
24,667,4,2019-02-25,Varias,17,06:00,16:00,06:40,3195,"MADRID, RETIRO","0,0","954,5","948,9",MADRID,"4,2","18,5","12,4","6,4","0,8"
25,667,16,2019-02-26,12,Varias,16:30,16:10,06:50,3195,"MADRID, RETIRO","0,0","952,0","950,0",MADRID,"6,9","19,8","13,4","7,1","1,7"
26,667,28,2019-02-27,00,Varias,15:50,16:10,06:50,3195,"MADRID, RETIRO","0,0","951,2","948,6",MADRID,"5,3","19,8","13,4","7,0","1,4"
27,667,6,2019-02-28,10,24,23:50,15:30,07:15,3195,"MADRID, RETIRO","0,0","951,5","947,5",MADRID,"5,0","18,6","12,4","6,2","0,8"
28,667,6,2019-03-01,00,17,01:20,16:20,06:50,3195,"MADRID, RETIRO","0,0","946,8","944,1",MADRID,"7,2","19,5","13,2","6,8","1,7"
