,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,23,2014-07-01,01,16,14:40,13:50,05:10,3195,"MADRID, RETIRO","0,0","938,0","935,0",MADRID,"13,6","28,0","22,8","17,6","2,8"
1,667,13,2014-07-02,22,01,20:00,14:10,05:20,3195,"MADRID, RETIRO","1,1","941,6","935,2",MADRID,"16,1","27,3","21,0","14,6","1,4"
2,667,9,2014-07-03,00,17,01:00,13:30,01:40,3195,"MADRID, RETIRO","1,5","941,0","938,5",MADRID,"10,6","22,2","19,2","16,2","2,5"
3,667,16,2014-07-04,10,17,15:40,15:50,05:50,3195,"MADRID, RETIRO","0,0","940,9","939,3",MADRID,"9,2","28,7","21,0","13,4","1,7"
4,667,9,2014-07-05,09,24,16:20,14:40,05:45,3195,"MADRID, RETIRO","0,0","940,9","937,0",MADRID,"10,3","31,7","24,8","18,0","2,2"
5,667,24,2014-07-06,20,04,13:30,12:15,05:10,3195,"MADRID, RETIRO","0,0","938,9","935,9",MADRID,"11,4","26,1","21,8","17,5","3,6"
6,667,16,2014-07-07,24,03,14:50,14:30,04:20,3195,"MADRID, RETIRO","0,0","941,8","938,1",MADRID,"9,2","28,0","22,4","16,7","1,9"
7,667,9,2014-07-08,07,18,23:30,14:30,04:50,3195,"MADRID, RETIRO","0,0","942,9","939,3",MADRID,"10,8","30,0","22,9","15,8","0,3"
8,667,15,2014-07-09,24,19,20:40,14:50,05:15,3195,"MADRID, RETIRO","0,0","942,8","939,8",MADRID,"13,3","29,2","22,8","16,4","3,6"
9,667,9,2014-07-10,08,19,21:30,14:20,04:50,3195,"MADRID, RETIRO","0,0","943,5","939,7",MADRID,"10,3","29,0","21,1","13,2","2,2"
10,667,11,2014-07-11,07,18,20:40,14:45,06:00,3195,"MADRID, RETIRO","0,0","943,5","939,0",MADRID,"10,3","30,0","21,7","13,4","1,1"
11,667,6,2014-07-12,07,18,01:00,06:20,05:30,3195,"MADRID, RETIRO","0,0","942,1","938,7",MADRID,"8,6","31,2","23,3","15,4","2,2"
12,667,10,2014-07-13,07,18,13:30,14:20,05:10,3195,"MADRID, RETIRO","0,0","941,5","937,8",MADRID,"9,7","33,2","25,6","18,0","2,5"
13,667,20,2014-07-14,09,18,22:36,13:30,05:50,3195,"MADRID, RETIRO","0,0","941,2","938,6",MADRID,"10,3","35,0","27,9","20,8","1,4"
14,667,14,2014-07-15,07,Varias,01:10,14:10,05:20,3195,"MADRID, RETIRO","0,0","941,6","940,2",MADRID,"9,7","35,8","28,7","21,6","1,1"
15,667,26,2014-07-16,07,19,13:20,14:40,05:50,3195,"MADRID, RETIRO","0,0","942,5","939,5",MADRID,"6,9","37,2","30,0","22,8","0,8"
16,667,11,2014-07-17,11,24,14:50,13:30,04:30,3195,"MADRID, RETIRO","0,0","942,4","939,0",MADRID,"10,6","37,3","30,0","22,7","1,9"
17,667,33,2014-07-18,00,18,16:40,13:30,06:15,3195,"MADRID, RETIRO","0,0","939,0","934,5",MADRID,"13,3","35,0","29,2","23,4","2,8"
18,667,26,2014-07-19,24,00,18:10,00:00,23:59,3195,"MADRID, RETIRO","0,0","939,3","936,1",MADRID,"13,6","23,2","20,3","17,4","3,1"
19,667,15,2014-07-20,24,00,12:05,15:50,06:10,3195,"MADRID, RETIRO","0,0","943,3","939,3",MADRID,"10,0","26,2","21,1","16,0","2,8"
20,667,4,2014-07-21,07,18,23:50,14:30,05:30,3195,"MADRID, RETIRO","0,0","945,3","941,4",MADRID,"7,8","30,5","23,4","16,4","0,8"
21,667,8,2014-07-22,Varias,18,01:20,13:40,06:10,3195,"MADRID, RETIRO","0,0","942,0","937,1",MADRID,"10,3","34,0","26,4","18,8","1,7"
22,667,31,2014-07-23,07,18,14:30,14:05,05:45,3195,"MADRID, RETIRO","0,0","937,6","933,8",MADRID,"8,9","36,0","28,5","21,0","1,9"
23,667,29,2014-07-24,07,18,13:50,14:05,05:20,3195,"MADRID, RETIRO","0,0","935,2","933,3",MADRID,"8,9","35,3","29,0","22,7","2,2"
24,667,32,2014-07-25,11,03,14:50,14:10,05:20,3195,"MADRID, RETIRO","0,0","936,0","933,9",MADRID,"8,1","34,2","27,0","19,8","1,4"
25,667,9,2014-07-26,24,00,02:20,13:50,05:50,3195,"MADRID, RETIRO","0,0","939,1","935,9",MADRID,"7,2","35,3","28,4","21,5","1,4"
26,667,9,2014-07-27,10,17,02:00,14:20,06:10,3195,"MADRID, RETIRO","0,0","941,1","938,1",MADRID,"10,8","35,7","28,8","22,0","1,7"
27,667,11,2014-07-28,07,17,23:10,13:30,23:59,3195,"MADRID, RETIRO","0,0","938,8","935,2",MADRID,"12,5","35,7","28,8","22,0","1,9"
28,667,20,2014-07-29,11,17,07:10,15:10,05:40,3195,"MADRID, RETIRO","0,0","940,0","937,2",MADRID,"11,7","29,7","23,8","18,0","2,5"
29,667,10,2014-07-30,08,19,07:30,14:15,05:40,3195,"MADRID, RETIRO","0,0","940,6","936,4",MADRID,"9,7","31,6","23,6","15,5","2,5"
30,667,32,2014-07-31,07,18,17:10,13:45,05:15,3195,"MADRID, RETIRO","0,0","938,0","935,3",MADRID,"8,9","34,7","27,4","20,2","3,6"
