,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,6.0,2019-01-01,09,05,00:00,15:10,07:30,3195,"MADRID, RETIRO","0,0","953,9","951,5",MADRID,"5,3","11,7","6,6","1,4","0,3"
1,667,6.0,2019-01-02,00,16,23:20,15:15,06:30,3195,"MADRID, RETIRO","0,0","952,5","948,3",MADRID,"7,8","11,7","6,0","0,4","0,6"
2,667,5.0,2019-01-03,10,05,00:10,15:20,07:00,3195,"MADRID, RETIRO","0,0","951,4","949,0",MADRID,"7,8","11,8","7,3","2,8","0,6"
3,667,6.0,2019-01-04,Varias,05,05:40,15:10,08:05,3195,"MADRID, RETIRO","0,0","952,9","949,9",MADRID,"3,6","11,4","5,9","0,4","0,3"
4,667,9.0,2019-01-05,12,00,10:40,15:00,08:00,3195,"MADRID, RETIRO","0,0","955,2","952,5",MADRID,"3,1","10,8","5,4","-0,1","0,6"
5,667,2.0,2019-01-06,Varias,15,16:00,15:30,Varias,3195,"MADRID, RETIRO","0,0","953,3","950,2",MADRID,"3,3","13,8","6,6","-0,5","1,1"
6,667,8.0,2019-01-07,10,14,21:50,15:40,08:00,3195,"MADRID, RETIRO","0,0","951,2","948,6",MADRID,"5,0","13,7","7,1","0,5","0,6"
7,667,34.0,2019-01-08,11,24,20:20,15:40,08:00,3195,"MADRID, RETIRO","0,0","952,5","947,8",MADRID,"3,6","13,0","7,1","1,2","0,8"
8,667,3.0,2019-01-09,00,19,16:00,14:40,08:00,3195,"MADRID, RETIRO","0,0","948,2","941,3",MADRID,"9,7","13,2","7,6","2,0","1,4"
9,667,3.0,2019-01-10,24,05,19:40,14:05,06:10,3195,"MADRID, RETIRO","0,0","945,1","940,2",MADRID,"10,0","8,8","4,7","0,6","2,8"
10,667,4.0,2019-01-11,23,01,00:40,16:10,07:10,3195,"MADRID, RETIRO","0,0","949,6","944,7",MADRID,"6,1","7,4","2,8","-1,8","0,6"
11,667,11.0,2019-01-12,10,Varias,09:50,15:40,07:50,3195,"MADRID, RETIRO","0,0","952,0","948,9",MADRID,"4,2","9,5","4,4","-0,8","0,8"
12,667,99.0,2019-01-13,Varias,24,Varias,15:40,06:40,3195,"MADRID, RETIRO","0,0","950,0","945,5",MADRID,"3,6","10,8","5,0","-0,7","0,8"
13,667,5.0,2019-01-14,01,18,20:40,15:30,07:50,3195,"MADRID, RETIRO","0,0","947,4","943,5",MADRID,"3,9","12,6","6,8","1,0","0,6"
14,667,,2019-01-15,11,17,,15:10,01:50,3195,"MADRID, RETIRO","0,0","944,6","941,3",MADRID,,"12,2","7,6","3,1","1,4"
15,667,25.0,2019-01-16,00,15,16:00,15:30,04:40,3195,"MADRID, RETIRO","0,0","942,2","939,0",MADRID,"6,4","10,0","5,7","1,4","1,1"
16,667,4.0,2019-01-17,23,Varias,23:40,15:40,00:10,3195,"MADRID, RETIRO","0,0","942,8","939,5",MADRID,"4,7","8,5","5,6","2,7","0,3"
17,667,24.0,2019-01-18,Varias,20,14:00,15:15,07:50,3195,"MADRID, RETIRO","0,0","942,5","940,0",MADRID,"6,1","7,6","3,6","-0,3","1,1"
18,667,24.0,2019-01-19,00,23,13:30,13:40,Varias,3195,"MADRID, RETIRO","5,9","939,8","931,9",MADRID,"5,3","4,4","2,0","-0,5","0,6"
19,667,36.0,2019-01-20,24,Varias,12:30,13:50,03:50,3195,"MADRID, RETIRO","0,0","941,1","930,4",MADRID,"11,7","9,5","6,4","3,3","2,2"
20,667,35.0,2019-01-21,Varias,01,10:00,12:40,06:10,3195,"MADRID, RETIRO","0,0","943,8","940,8",MADRID,"10,6","9,4","5,4","1,4","3,6"
21,667,29.0,2019-01-22,00,23,14:10,13:20,04:40,3195,"MADRID, RETIRO","0,4","945,0","935,0",MADRID,"11,1","8,0","4,4","0,7","1,9"
22,667,30.0,2019-01-23,00,14,11:10,13:15,00:30,3195,"MADRID, RETIRO","0,0","934,1","929,3",MADRID,"17,5","13,1","9,2","5,2","4,4"
23,667,31.0,2019-01-24,24,02,05:10,12:20,07:45,3195,"MADRID, RETIRO","0,0","938,6","931,5",MADRID,"12,2","14,6","11,6","8,7","2,2"
24,667,4.0,2019-01-25,24,01,12:30,13:40,07:10,3195,"MADRID, RETIRO","0,0","943,3","938,2",MADRID,"10,0","15,2","10,2","5,2","3,3"
25,667,22.0,2019-01-26,12,24,14:50,15:15,07:45,3195,"MADRID, RETIRO","0,0","943,9","939,3",MADRID,"5,0","12,6","7,4","2,2","1,1"
26,667,32.0,2019-01-27,24,08,08:00,13:30,04:50,3195,"MADRID, RETIRO","0,0","940,0","936,0",MADRID,"14,7","11,4","6,9","2,4","2,2"
27,667,26.0,2019-01-28,00,13,13:10,13:30,06:50,3195,"MADRID, RETIRO","0,0","940,7","935,7",MADRID,"15,3","13,0","8,4","3,7","3,9"
28,667,30.0,2019-01-29,01,17,20:00,19:20,Varias,3195,"MADRID, RETIRO",Ip,"939,8","932,9",MADRID,"14,7","10,5","7,9","5,3","2,8"
29,667,26.0,2019-01-30,10,24,12:50,13:50,07:50,3195,"MADRID, RETIRO","4,1","936,1","928,3",MADRID,"10,8","10,1","7,2","4,2","3,3"
30,667,25.0,2019-01-31,00,24,17:30,13:20,00:00,3195,"MADRID, RETIRO","8,2","928,8","921,8",MADRID,"17,2","12,4","9,4","6,4","5,3"
