,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,667,26,2016-01-01,0,18,23:59,14:50,Varias,3195,"MADRID, RETIRO","3,2","946,9","939,6",MADRID,"8,9","14,4","11,3","8,2","1,9"
1,667,28,2016-01-02,19,01,14:00,14:40,23:59,3195,"MADRID, RETIRO","0,0","945,2","940,9",MADRID,"9,2","11,4","8,2","5,0","1,9"
2,667,22,2016-01-03,0,24,23:59,23:59,00:30,3195,"MADRID, RETIRO","0,4","944,1","932,7",MADRID,"10,3","11,9","8,3","4,7","2,5"
3,667,26,2016-01-04,0,16,10:00,10:40,23:50,3195,"MADRID, RETIRO","4,1","933,1","925,6",MADRID,"23,3","13,5","10,2","6,8","6,4"
4,667,27,2016-01-05,24,02,13:40,13:20,23:59,3195,"MADRID, RETIRO","0,0","936,2","928,3",MADRID,"11,9","9,6","6,8","4,1","3,1"
5,667,26,2016-01-06,10,02,21:10,23:59,06:50,3195,"MADRID, RETIRO","0,3","940,7","936,0",MADRID,"14,2","8,9","5,2","1,4","2,2"
6,667,28,2016-01-07,11,16,13:30,15:30,00:00,3195,"MADRID, RETIRO","0,5","939,0","937,1",MADRID,"13,9","14,4","11,6","8,9","4,4"
7,667,22,2016-01-08,0,24,10:40,12:00,19:50,3195,"MADRID, RETIRO","6,0","938,0","931,9",MADRID,"11,7","12,9","11,6","10,4","1,9"
8,667,26,2016-01-09,21,11,16:30,13:30,Varias,3195,"MADRID, RETIRO","0,2","935,0","929,9",MADRID,"12,8","11,5","9,8","8,2","2,5"
9,667,24,2016-01-10,0,24,22:50,13:40,05:10,3195,"MADRID, RETIRO","12,0","934,1","928,5",MADRID,"17,2","12,0","10,2","8,5","3,9"
10,667,25,2016-01-11,24,03,00:40,Varias,23:20,3195,"MADRID, RETIRO","0,4","941,4","928,5",MADRID,"17,2","11,3","8,2","5,2","3,6"
11,667,26,2016-01-12,24,00,13:50,14:05,07:40,3195,"MADRID, RETIRO","0,0","947,0","941,2",MADRID,"6,9","10,6","6,8","3,1","1,4"
12,667,15,2016-01-13,11,24,14:00,14:15,07:10,3195,"MADRID, RETIRO","0,0","948,5","943,8",MADRID,"3,9","9,6","5,8","2,0","0,6"
13,667,23,2016-01-14,0,15,15:00,16:10,06:10,3195,"MADRID, RETIRO","2,1","944,3","939,9",MADRID,"5,3","8,6","6,2","3,8","0,6"
14,667,2,2016-01-15,24,02,13:20,14:45,23:59,3195,"MADRID, RETIRO","0,0","950,9","941,5",MADRID,"11,9","9,6","6,8","4,0","2,2"
15,667,4,2016-01-16,11,15,12:40,13:30,06:20,3195,"MADRID, RETIRO","0,0","952,8","950,8",MADRID,"10,3","8,3","4,4","0,6","1,9"
16,667,26,2016-01-17,0,18,17:10,15:30,07:50,3195,"MADRID, RETIRO","0,0","952,0","942,9",MADRID,"5,3","7,0","3,0","-0,9","0,6"
17,667,33,2016-01-18,0,14,22:50,14:50,06:40,3195,"MADRID, RETIRO","0,0","942,8","938,2",MADRID,"9,2","9,8","6,0","2,2","2,8"
18,667,29,2016-01-19,11,19,00:40,15:45,07:50,3195,"MADRID, RETIRO","0,0","941,5","939,7",MADRID,"5,8","8,8","5,8","2,7","1,1"
19,667,27,2016-01-20,24,14,22:10,15:20,04:10,3195,"MADRID, RETIRO","0,0","941,9","939,0",MADRID,"4,2","9,2","5,4","1,6","0,3"
20,667,9,2016-01-21,24,00,17:00,15:15,05:10,3195,"MADRID, RETIRO","0,0","948,2","941,5",MADRID,"3,3","9,0","6,8","4,6","0,3"
21,667,4,2016-01-22,24,00,04:50,15:50,04:50,3195,"MADRID, RETIRO","0,8","954,8","948,3",MADRID,"4,7","11,3","8,6","6,0","1,1"
22,667,3,2016-01-23,11,Varias,04:00,15:30,07:50,3195,"MADRID, RETIRO","0,0","956,2","953,9",MADRID,"5,0","16,2","12,2","8,2","1,1"
23,667,4,2016-01-24,11,17,04:00,15:20,07:00,3195,"MADRID, RETIRO","0,0","955,2","952,6",MADRID,"4,7","17,5","12,8","8,2","0,6"
24,667,8,2016-01-25,11,15,07:30,15:30,07:20,3195,"MADRID, RETIRO","0,0","953,2","950,7",MADRID,"4,7","16,4","12,2","8,0","0,8"
25,667,23,2016-01-26,11,15,15:50,14:30,06:30,3195,"MADRID, RETIRO","0,0","953,5","950,5",MADRID,"5,6","14,4","10,7","7,0","0,8"
26,667,16,2016-01-27,11,16,13:00,16:10,00:10,3195,"MADRID, RETIRO","0,0","952,2","950,2",MADRID,"3,9","10,1","8,6","7,0","0,6"
27,667,22,2016-01-28,24,04,13:40,11:50,18:00,3195,"MADRID, RETIRO","3,7","952,3","949,3",MADRID,"5,8","9,6","8,5","7,4","1,1"
28,667,4,2016-01-29,23,03,08:30,16:20,03:30,3195,"MADRID, RETIRO","0,5","954,7","952,3",MADRID,"7,8","10,6","8,6","6,5","1,9"
29,667,23,2016-01-30,10,02,12:30,15:10,08:10,3195,"MADRID, RETIRO","0,0","956,2","954,0",MADRID,"6,9","12,9","8,6","4,2","1,1"
30,667,30,2016-01-31,24,04,02:30,14:30,05:15,3195,"MADRID, RETIRO","0,0","956,4","953,9",MADRID,"8,1","14,8","10,9","7,0","0,3"
