"c";"k";"activation";"batch_size";"units";"epochs";"rmse"
8;1;"tanh";30;16;1;0,138097219002982
8;1;"tanh";30;16;5;0,138109213214914
8;1;"tanh";30;16;10;0,127111179858989
8;1;"tanh";30;32;1;0,137928324758337
8;1;"tanh";30;32;5;0,138977117592021
8;1;"tanh";30;32;10;0,126260673431953
8;1;"tanh";30;64;1;0,14693257359131
8;1;"tanh";30;64;5;0,12283050615233
8;1;"tanh";30;64;10;0,119130246298607
8;2;"softmax";1;1;1;0,154643941727027
8;2;"softmax";1;1;5;0,153800542388753
8;2;"softmax";1;1;10;0,150009565103969
8;2;"softmax";1;8;1;0,155770556148948
8;2;"softmax";1;8;5;0,143230245063819
8;2;"softmax";1;8;10;0,121559440243522
8;2;"softmax";1;16;1;0,154160488167414
8;2;"softmax";1;16;5;0,151815355454325
8;2;"softmax";1;16;10;0,132940212964596
8;2;"softmax";1;32;1;0,15354896672572
8;2;"softmax";1;32;5;0,153786581282419
8;2;"softmax";1;32;10;0,152903825685477
8;2;"softmax";1;64;1;0,153062311114418
8;2;"softmax";1;64;5;0,153370449834885
8;2;"softmax";1;64;10;0,153574854948044
8;2;"softmax";7;1;1;0,146685719505902
8;2;"softmax";7;1;5;0,142957605902956
8;2;"softmax";7;1;10;0,144804821412062
8;2;"softmax";7;8;1;0,143444571991072
8;2;"softmax";7;8;5;0,146090265770333
8;2;"softmax";7;8;10;0,146308113792088
8;2;"softmax";7;16;1;0,136872017101723
8;2;"softmax";7;16;5;0,145685739847999
8;2;"softmax";7;16;10;0,145671505478365
8;2;"softmax";7;32;1;0,139174331328212
8;2;"softmax";7;32;5;0,145329322426846
8;2;"softmax";7;32;10;0,145248377909235
8;2;"softmax";7;64;1;0,136246384035666
8;2;"softmax";7;64;5;0,145102284930665
8;2;"softmax";7;64;10;0,145107058559989
8;2;"softmax";30;1;1;0,498244344638352
8;2;"softmax";30;1;5;0,142642631465599
8;2;"softmax";30;1;10;0,142828952009135
8;2;"softmax";30;8;1;0,140037798552336
8;2;"softmax";30;8;5;0,141276177255242
8;2;"softmax";30;8;10;0,143063912474357
8;2;"softmax";30;16;1;0,243676172313822
8;2;"softmax";30;16;5;0,141675415278093
8;2;"softmax";30;16;10;0,142607077081389
8;2;"softmax";30;32;1;0,225695101815356
8;2;"softmax";30;32;5;0,140574145804474
8;2;"softmax";30;32;10;0,142559016195484
8;2;"softmax";30;64;1;0,204969465613061
8;2;"softmax";30;64;5;0,141070556613813
8;2;"softmax";30;64;10;0,142519231466644
8;2;"relu";1;1;1;0,148908235642938
8;2;"relu";1;1;5;0,148911805454552
8;2;"relu";1;1;10;0,148911805454552
8;2;"relu";1;8;1;0,233706492979248
8;2;"relu";1;8;5;NA
8;2;"relu";1;8;10;0,154484410499458
8;2;"relu";1;16;1;NA
8;2;"relu";1;16;5;NA
8;2;"relu";1;16;10;NA
8;2;"relu";1;32;1;Inf
8;2;"relu";1;32;5;NA
8;2;"relu";1;32;10;NA
8;2;"relu";1;64;1;251726521229585
8;2;"relu";1;64;5;NA
8;2;"relu";1;64;10;NA
8;2;"relu";7;1;1;0,193636880550798
8;2;"relu";7;1;5;0,142703461489192
8;2;"relu";7;1;10;0,142708965272449
8;2;"relu";7;8;1;0,221530658722481
8;2;"relu";7;8;5;0,188931914694166
8;2;"relu";7;8;10;0,142708965272449
8;2;"relu";7;16;1;0,193327743230695
8;2;"relu";7;16;5;NA
8;2;"relu";7;16;10;NA
8;2;"relu";7;32;1;0,254529750304461
8;2;"relu";7;32;5;NA
8;2;"relu";7;32;10;102010,282056016
8;2;"relu";7;64;1;0,479148270577804
8;2;"relu";7;64;5;NA
8;2;"relu";7;64;10;NA
8;2;"relu";30;1;1;0,248330153291474
8;2;"relu";30;1;5;0,137840945156278
8;2;"relu";30;1;10;0,141536605053952
8;2;"relu";30;8;1;0,144316118326199
8;2;"relu";30;8;5;0,142363535227521
8;2;"relu";30;8;10;0,178769346717062
8;2;"relu";30;16;1;0,141989171356396
8;2;"relu";30;16;5;0,13892455006253
8;2;"relu";30;16;10;NA
8;2;"relu";30;32;1;0,137449139422857
8;2;"relu";30;32;5;0,136963681048443
8;2;"relu";30;32;10;154670,571912706
8;2;"relu";30;64;1;0,155499498884573
8;2;"relu";30;64;5;0,126199204429778
8;2;"relu";30;64;10;370840127939317888
8;2;"tanh";1;1;1;0,15440196446709
8;2;"tanh";1;1;5;0,141041742182749
8;2;"tanh";1;1;10;0,132270939462188
8;2;"tanh";1;8;1;0,189864553565749
8;2;"tanh";1;8;5;0,146479592848414
8;2;"tanh";1;8;10;0,177735607958342
8;2;"tanh";1;16;1;0,204720928016572
8;2;"tanh";1;16;5;0,151664978795287
8;2;"tanh";1;16;10;0,167318222212891
8;2;"tanh";1;32;1;0,207946123961468
8;2;"tanh";1;32;5;0,168336771109404
8;2;"tanh";1;32;10;0,240763336009362
8;2;"tanh";1;64;1;0,191658810903792
8;2;"tanh";1;64;5;0,17492641627407
8;2;"tanh";1;64;10;0,160114292047313
8;2;"tanh";7;1;1;0,144132931214999
8;2;"tanh";7;1;5;0,143524541553608
8;2;"tanh";7;1;10;0,131915007789606
8;2;"tanh";7;8;1;0,202406479237414
8;2;"tanh";7;8;5;0,134518934347874
8;2;"tanh";7;8;10;0,150418931376191
8;2;"tanh";7;16;1;0,239552051519741
8;2;"tanh";7;16;5;0,154730115757689
8;2;"tanh";7;16;10;0,138562655290806
8;2;"tanh";7;32;1;0,284955005542305
8;2;"tanh";7;32;5;0,168091658750637
8;2;"tanh";7;32;10;0,163778670344441
8;2;"tanh";7;64;1;0,302086001936356
8;2;"tanh";7;64;5;0,177835131171678
8;2;"tanh";7;64;10;0,193395460767927
8;2;"tanh";30;1;1;0,138681494790084
8;2;"tanh";30;1;5;0,144298877250346
8;2;"tanh";30;1;10;0,142459880057529
8;2;"tanh";30;8;1;0,142037466323486
8;2;"tanh";30;8;5;0,141575654029201
8;2;"tanh";30;8;10;0,137611473567625
8;2;"tanh";30;16;1;0,140791705946269
8;2;"tanh";30;16;5;0,136498608002143
8;2;"tanh";30;16;10;0,123763362129141
8;2;"tanh";30;32;1;0,145793198211294
8;2;"tanh";30;32;5;0,121526649014389
8;2;"tanh";30;32;10;0,110435175903458
8;2;"tanh";30;64;1;0,150347051036928
8;2;"tanh";30;64;5;0,109853056391259
8;2;"tanh";30;64;10;0,117043189827439
8;3;"softmax";1;1;1;0,154622565519262
8;3;"softmax";1;1;5;0,150809984356428
8;3;"softmax";1;1;10;0,145254691853831
8;3;"softmax";1;8;1;0,15505624215723
8;3;"softmax";1;8;5;0,148280126718579
8;3;"softmax";1;8;10;0,125832344307859
8;3;"softmax";1;16;1;0,154174333985961
8;3;"softmax";1;16;5;0,15057685342252
8;3;"softmax";1;16;10;0,128407528815812
8;3;"softmax";1;32;1;0,153537134626579
8;3;"softmax";1;32;5;0,153789814485219
8;3;"softmax";1;32;10;0,151736917375752
8;3;"softmax";1;64;1;0,153163132127219
8;3;"softmax";1;64;5;0,15347118548151
