"c";"k";"o";"batch_size";"units";"epochs";"rmse"
8;2;1;30;16;1;0,140888909327756
8;2;1;30;16;5;0,137896704002721
8;2;1;30;16;10;0,121323513607137
8;2;1;30;32;1;0,138466038428459
8;2;1;30;32;5;0,126451511798835
8;2;1;30;32;10;0,112536939768327
8;2;3;1;1;1;0,164065151464484
8;2;3;1;1;5;0,134579596244321
8;2;3;1;1;10;0,141988082012933
8;2;3;1;8;1;0,216457754359525
8;2;3;1;8;5;0,164509031591618
8;2;3;1;8;10;0,183602463146255
8;2;3;1;16;1;0,25223114998337
8;2;3;1;16;5;0,263223460675191
8;2;3;1;16;10;0,154762607582401
8;2;3;1;32;1;0,271362965564277
8;2;3;1;32;5;0,284088263093439
8;2;3;1;32;10;0,367316076334386
8;2;3;7;1;1;0,150379280424836
8;2;3;7;1;5;0,14802812058473
8;2;3;7;1;10;0,146627635070967
8;2;3;7;8;1;0,16668912342143
8;2;3;7;8;5;0,143117393219203
8;2;3;7;8;10;0,141590838877532
8;2;3;7;16;1;0,195429824359688
8;2;3;7;16;5;0,155609438229149
8;2;3;7;16;10;0,162184538980699
8;2;3;7;32;1;0,278452136121457
8;2;3;7;32;5;0,188325853725419
8;2;3;7;32;10;0,163674601105092
8;2;3;30;1;1;0,242651975393193
8;2;3;30;1;5;0,140932391329323
8;2;3;30;1;10;0,143222966038569
8;2;3;30;8;1;0,144766961264461
8;2;3;30;8;5;0,143142820951404
8;2;3;30;8;10;0,141089217822922
8;2;3;30;16;1;0,141014279082323
8;2;3;30;16;5;0,13360160148153
8;2;3;30;16;10;0,138931570893967
8;2;3;30;32;1;0,137367392883877
8;2;3;30;32;5;0,130121148342356
8;2;3;30;32;10;0,138712553312317
8;2;5;1;1;1;0,155534461835929
8;2;5;1;1;5;0,150065756109044
8;2;5;1;1;10;0,142165919818593
8;2;5;1;8;1;0,225713354924728
8;2;5;1;8;5;0,182897772750114
8;2;5;1;8;10;0,162066459553215
8;2;5;1;16;1;0,299339895976359
8;2;5;1;16;5;0,25591390058866
8;2;5;1;16;10;0,23554544723114
8;2;5;1;32;1;0,345551471491839
8;2;5;1;32;5;0,356752471530484
8;2;5;1;32;10;0,242158820859646
8;2;5;7;1;1;0,144021307166746
8;2;5;7;1;5;0,144604948295685
8;2;5;7;1;10;0,14063277864096
8;2;5;7;8;1;0,157719007895838
8;2;5;7;8;5;0,133745948463296
8;2;5;7;8;10;0,126078553222746
8;2;5;7;16;1;0,198613851226229
8;2;5;7;16;5;0,144928958651215
8;2;5;7;16;10;0,136705955197151
8;2;5;7;32;1;0,228882713932113
8;2;5;7;32;5;0,155014085377224
8;2;5;7;32;10;0,171683923863739
